Demand,WorkDay,Temperature,fecha
3.9146471299999996,0,18.2,2014-01-01T00:00:00Z
3.6725496079999997,0,17.9,2014-01-01T00:30:00Z
3.49753903,0,17.6,2014-01-01T01:00:00Z
3.339144792,0,16.8,2014-01-01T01:30:00Z
3.204312604,0,16.3,2014-01-01T02:00:00Z
3.100042586,0,16.6,2014-01-01T02:30:00Z
3.03946753,0,16.6,2014-01-01T03:00:00Z
3.0120886479999998,0,16.7,2014-01-01T03:30:00Z
3.017270254,0,16.2,2014-01-01T04:00:00Z
3.02667176,0,16.6,2014-01-01T04:30:00Z
3.042571012,0,17.8,2014-01-01T05:00:00Z
3.0668460399999997,0,18.1,2014-01-01T05:30:00Z
3.130006372,0,19.1,2014-01-01T06:00:00Z
3.229404258,0,20.3,2014-01-01T06:30:00Z
3.23186119,0,19.9,2014-01-01T07:00:00Z
3.3198177959999997,0,21.3,2014-01-01T07:30:00Z
3.4317954840000002,0,21.9,2014-01-01T08:00:00Z
3.50232867,0,22.8,2014-01-01T08:30:00Z
3.577585806,0,23.4,2014-01-01T09:00:00Z
3.662798382,0,24,2014-01-01T09:30:00Z
3.69439488,0,24.6,2014-01-01T10:00:00Z
3.76573708,0,25,2014-01-01T10:30:00Z
3.848776214,0,26,2014-01-01T11:00:00Z
3.86817164,0,25.8,2014-01-01T11:30:00Z
3.8583213179999998,0,25.3,2014-01-01T12:00:00Z
3.8445095580000004,0,25.3,2014-01-01T12:30:00Z
3.837085448,0,23.7,2014-01-01T13:00:00Z
3.840860404,0,23.6,2014-01-01T13:30:00Z
3.847447728,0,21.9,2014-01-01T14:00:00Z
3.873634212,0,19.5,2014-01-01T14:30:00Z
3.8887488279999998,0,18.9,2014-01-01T15:00:00Z
3.9345596620000003,0,19.4,2014-01-01T15:30:00Z
4.039507452,0,21.8,2014-01-01T16:00:00Z
4.124618318,0,23.5,2014-01-01T16:30:00Z
4.1390789759999995,0,22.6,2014-01-01T17:00:00Z
4.096979848,0,22.7,2014-01-01T17:30:00Z
4.029811491999999,0,21.6,2014-01-01T18:00:00Z
3.993029164,0,23.2,2014-01-01T18:30:00Z
3.949475578,0,22,2014-01-01T19:00:00Z
3.981284612,0,22.3,2014-01-01T19:30:00Z
3.965314702,0,22,2014-01-01T20:00:00Z
3.8979578900000003,0,22.1,2014-01-01T20:30:00Z
3.772791124,0,22.2,2014-01-01T21:00:00Z
3.6141900220000003,0,22.1,2014-01-01T21:30:00Z
3.572151378,0,21.6,2014-01-01T22:00:00Z
