date_time,Business,Holiday,Other,Visiting
1998-01-01,764.9321912,3203.6210302,127.0417768,1914.8294923
1998-04-01,778.3927793,2257.8109386,139.4057578,1619.6372795
1998-07-01,929.0591041,1898.3789665,128.9017486,1360.5053505
1998-10-01,668.1108555,2003.7811505,126.546762,1876.3903497
1999-01-01,623.4779937999999,2919.4946218,135.53436,1625.8272198
1999-04-01,803.4463268,2182.719717,165.3914772,1410.1533799
1999-07-01,612.8677173,1728.8584711,133.7107411,1308.1641098
1999-10-01,752.4646644000001,1866.7339841,162.378309,1419.8455204
2000-01-01,751.6012777000001,2808.8485614,208.2383728,1798.1690757
2000-04-01,785.1743435999999,2069.4567203,168.2904938,1478.9827245
2000-07-01,932.984383,1806.7165835,150.8888242,1231.8023605
2000-10-01,914.8244087999999,1965.8074486,197.9366899,1708.6085316
2001-01-01,749.3324059,3006.8541113,198.17300219999998,1646.1051557
2001-04-01,748.7679487,2152.6558449999998,174.2421612,1457.140784
2001-07-01,780.9888502000001,1884.7832749000002,214.32508969999998,1419.794775
2001-10-01,810.6206493999999,1928.8929112,195.6907561,1638.2299775
2002-01-01,716.1025382,2749.4000119,179.4063455,1868.8402813
2002-04-01,693.8477082,2107.8395253,125.8528915,1600.2234062
2002-07-01,862.8496475,1762.9448998999999,196.3000724,1420.2159603
2002-10-01,755.1590731,1969.6204141,255.6661687,1763.4036032
2003-01-01,755.5391145,2671.9471137,139.83605540000002,1890.534852
2003-04-01,880.4122915,2135.7702847,127.3423835,1878.5414033
2003-07-01,780.1507386999999,1857.0142844,151.1514707,1399.8667084
2003-10-01,695.7345577,1894.2226016,151.8393155,1864.1882784
2004-01-01,617.5407833,2608.1601071,221.4705085,1976.0661836000002
2004-04-01,886.4273484,2169.342597,186.4552214,1729.4022011
2004-07-01,864.1435014,1775.4104151,162.2786815,1501.9932082999999
2004-10-01,734.3920903,1841.2632782,139.1910564,1662.5938198000001
2005-01-01,562.2844492,2778.1734673,190.2322393,1918.6829393
2005-04-01,718.5797359000001,1782.8946584,175.1058909,1367.1851261
2005-07-01,719.2116497,1607.571873,197.77645629999998,1188.4447515
2005-10-01,875.1194322,1799.4744094,184.8754682,1529.8825966000002
2006-01-01,530.264695,3014.869587,243.108784,1831.438173
2006-04-01,734.689119,2074.065376,171.48458,1669.83561
2006-07-01,847.153141,1514.601386,155.01106000000001,1338.099216
2006-10-01,725.3012650000001,1916.076231,165.407464,1682.379823
2007-01-01,575.8576164000001,2789.8717450999998,138.63726450000001,1705.933211
2007-04-01,808.6905697,2048.4956182,161.2191477,1499.4149290999999
2007-07-01,826.9547865000001,1822.0303858,179.0993499,1323.3906069
2007-10-01,777.6123139,2004.3257074,202.00465,1734.5872794
2008-01-01,565.414736,3203.178186,150.47170119999998,1761.5606412
2008-04-01,720.7045542999999,1845.1366992,136.4217051,1430.5650864
2008-07-01,727.7613688,1842.0014288,151.54400900000002,1396.5013532
2008-10-01,746.9088569,1917.4904155,140.18823210000002,1462.2486125
2009-01-01,557.0524597,2535.0108917,138.58184060000002,1566.5167931
2009-04-01,696.1927709,1933.2770042,158.1008911,1371.6721289
2009-07-01,733.8254535,1903.2857393,257.0302628,1331.8151428
2009-10-01,775.06033,1817.9042104,159.20329170000002,1490.0353899000002
2010-01-01,542.2323377,2661.6391671,180.4175576,1570.6664667
2010-04-01,706.1898576,1930.9982121,159.23540530000002,1438.8814616
2010-07-01,763.7027779,1777.139352,173.1388139,1190.5905701
2010-10-01,730.5909197,1919.7612937,152.73600069999998,1545.4965713000001
2011-01-01,652.8642942,2765.5982907,188.7112739,1636.0343689000001
2011-04-01,740.0941707,2208.0195933,217.958526,1432.2834201
2011-07-01,856.7406866,1765.0645884,171.43929609999998,1402.4663623
2011-10-01,791.5070012,2062.617286,151.5038883,1678.830233
2012-01-01,615.8103596,2881.963318,201.4914184,1781.5859312
2012-04-01,720.0175961,2153.0168096,185.87211250000001,1631.5172019
2012-07-01,932.6274688999999,1718.3633026999998,183.3987288,1275.9452078
2012-10-01,771.8510004000001,2140.6811097,143.3752061,1764.009823
2013-01-01,638.7648965000001,2729.4782148,143.8847729,1816.8253103
2013-04-01,796.9582769,2204.2895071000003,139.9196961,1601.8744101
2013-07-01,805.7872025,1823.586186,200.8046647,1422.0796671
2013-10-01,811.1774788,2191.3696332,217.6280501,1904.3767023999999
2014-01-01,777.4181952,3008.1166562,250.4196771,1915.3632392
2014-04-01,875.1026075999999,2360.5338879,208.0507551,1866.7840259
2014-07-01,907.9253573,1867.6944528000001,292.210542,1515.7005356000002
2014-10-01,920.6282768,2210.4633888,354.5990626,1907.6035596000002
2015-01-01,800.2857956,3094.0458049,229.8475151,2002.7566315
2015-04-01,870.6984938,2350.292152,284.4170444,1779.0631873
2015-07-01,1011.4120998,2016.3758047000001,274.7850775,1678.5958474
2015-10-01,868.790809,2347.5173908,332.4558517,2002.0596519
2016-01-01,829.0584705,3503.6647297,273.2305841,1993.7466987
2016-04-01,966.5211707999999,2257.5440751,272.30695910000003,1838.8575319
2016-07-01,935.5466986,2180.6753713,285.2790782,1820.3793616
2016-10-01,1084.9746696,2427.507223,340.2036135,2260.3309068
2017-01-01,1066.4152226,3649.5989371,302.4610967,2251.0517572
2017-04-01,1133.9089219,2494.0921319,273.17657299999996,2000.2089205
2017-07-01,1196.6582954,2241.6373831,377.127572,2002.5482932
2017-10-01,1143.1662584,2907.0082015,297.3563448,2517.8680464
